,PageID,PageNo,Lang,XDPI,YDPI,PageStartX,PageStartY,PageWidth,PageHeight,BlockID,BlockType,BlockStartX,BlockStartY,BlockWidth,BlockHeight,LineID,LineStartX,LineStartY,LineWidth,LineHeight,WordID,WordValue,WordStartX,WordStartY,WordWidth,WordHeight,WordStyle,FontColor,FontSize,FontFamily,FontWeight,FontName,WordCN,CharList,BlockWordCount,BlockText,LineCount,AvgLineDensity,LineWordCount,LineText,WordStyleCount,WordDistance,AvgWordDistance,TextGroupSeparator
0,TM000001,0,en-us,300,300,0,0,2550,3300,0,Block,831,442,886,155,0,831,442,886,49,0,WCB,831,442,116,39,2,,12, swiss, bold, arial,999,"[{u'CharWidth': 47, u'CharStartX': 831, u'CharStartY': 443, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 0, u'CharValue': u'W', u'CharHeight': 37}, {u'CharWidth': 32, u'CharStartX': 880, u'CharStartY': 442, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 1, u'CharValue': u'C', u'CharHeight': 39}, {u'CharWidth': 30, u'CharStartX': 917, u'CharStartY': 443, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 2, u'CharValue': u'B', u'CharHeight': 37}]",9,WCB Billing Process – Psychologists Example – Billing Summary,2,4,5,WCB Billing Process – Psychologists,2,0.0,13.8,False
1,TM000001,0,en-us,300,300,0,0,2550,3300,0,Block,831,442,886,155,0,831,442,886,49,1,Billing,967,443,148,48,2,,12, swiss, bold, arial,9999999,"[{u'CharWidth': 30, u'CharStartX': 967, u'CharStartY': 443, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 0, u'CharValue': u'B', u'CharHeight': 37}, {u'CharWidth': 9, u'CharStartX': 1002, u'CharStartY': 443, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 1, u'CharValue': u'i', u'CharHeight': 37}, {u'CharWidth': 8, u'CharStartX': 1017, u'CharStartY': 443, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 2, u'CharValue': u'l', u'CharHeight': 37}, {u'CharWidth': 7, u'CharStartX': 1031, u'CharStartY': 443, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 3, u'CharValue': u'l', u'CharHeight': 37}, {u'CharWidth': 7, u'CharStartX': 1045, u'CharStartY': 443, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 4, u'CharValue': u'i', u'CharHeight': 37}, {u'CharWidth': 25, u'CharStartX': 1058, u'CharStartY': 452, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 5, u'CharValue': u'n', u'CharHeight': 28}, {u'CharWidth': 27, u'CharStartX': 1088, u'CharStartY': 452, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 6, u'CharValue': u'g', u'CharHeight': 39}]",9,WCB Billing Process – Psychologists Example – Billing Summary,2,4,5,WCB Billing Process – Psychologists,2,20.0,13.8,False
2,TM000001,0,en-us,300,300,0,0,2550,3300,0,Block,831,442,886,155,0,831,442,886,49,2,Process,1133,443,189,38,2,,12, swiss, bold, arial,9999999,"[{u'CharWidth': 29, u'CharStartX': 1133, u'CharStartY': 443, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 0, u'CharValue': u'P', u'CharHeight': 37}, {u'CharWidth': 19, u'CharStartX': 1167, u'CharStartY': 452, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 1, u'CharValue': u'r', u'CharHeight': 28}, {u'CharWidth': 26, u'CharStartX': 1186, u'CharStartY': 452, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 2, u'CharValue': u'o', u'CharHeight': 29}, {u'CharWidth': 25, u'CharStartX': 1216, u'CharStartY': 452, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 3, u'CharValue': u'c', u'CharHeight': 29}, {u'CharWidth': 25, u'CharStartX': 1242, u'CharStartY': 452, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 4, u'CharValue': u'e', u'CharHeight': 29}, {u'CharWidth': 25, u'CharStartX': 1271, u'CharStartY': 452, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 5, u'CharValue': u's', u'CharHeight': 29}, {u'CharWidth': 25, u'CharStartX': 1297, u'CharStartY': 452, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 6, u'CharValue': u's', u'CharHeight': 29}]",9,WCB Billing Process – Psychologists Example – Billing Summary,2,4,5,WCB Billing Process – Psychologists,2,18.0,13.8,False
3,TM000001,0,en-us,300,300,0,0,2550,3300,0,Block,831,442,886,155,0,831,442,886,49,3,–,1337,463,30,7,3,,16, swiss,, arial,9,"[{u'CharWidth': 30, u'CharStartX': 1337, u'CharStartY': 463, u'CharStyle': u'3', u'CharCN': u'9', u'CharID': 0, u'CharValue': u'–', u'CharHeight': 7}]",9,WCB Billing Process – Psychologists Example – Billing Summary,2,4,5,WCB Billing Process – Psychologists,2,15.0,13.8,False
4,TM000001,0,en-us,300,300,0,0,2550,3300,0,Block,831,442,886,155,0,831,442,886,49,4,Psychologists,1383,443,334,48,,,,,,,9999999999999,"[{u'CharWidth': 29, u'CharStartX': 1383, u'CharStartY': 443, u'CharCN': u'9', u'CharID': 0, u'CharValue': u'P', u'CharHeight': 37}, {u'CharWidth': 25, u'CharStartX': 1416, u'CharStartY': 452, u'CharCN': u'9', u'CharID': 1, u'CharValue': u's', u'CharHeight': 29}, {u'CharWidth': 29, u'CharStartX': 1442, u'CharStartY': 453, u'CharCN': u'9', u'CharID': 2, u'CharValue': u'y', u'CharHeight': 38}, {u'CharWidth': 25, u'CharStartX': 1471, u'CharStartY': 452, u'CharCN': u'9', u'CharID': 3, u'CharValue': u'c', u'CharHeight': 29}, {u'CharWidth': 25, u'CharStartX': 1500, u'CharStartY': 443, u'CharCN': u'9', u'CharID': 4, u'CharValue': u'h', u'CharHeight': 37}, {u'CharWidth': 27, u'CharStartX': 1530, u'CharStartY': 452, u'CharCN': u'9', u'CharID': 5, u'CharValue': u'o', u'CharHeight': 29}, {u'CharWidth': 7, u'CharStartX': 1561, u'CharStartY': 443, u'CharCN': u'9', u'CharID': 6, u'CharValue': u'l', u'CharHeight': 37}, {u'CharWidth': 28, u'CharStartX': 1573, u'CharStartY': 452, u'CharCN': u'9', u'CharID': 7, u'CharValue': u'o', u'CharHeight': 29}, {u'CharWidth': 26, u'CharStartX': 1605, u'CharStartY': 452, u'CharCN': u'9', u'CharID': 8, u'CharValue': u'g', u'CharHeight': 39}, {u'CharWidth': 7, u'CharStartX': 1636, u'CharStartY': 443, u'CharCN': u'9', u'CharID': 9, u'CharValue': u'i', u'CharHeight': 37}, {u'CharWidth': 25, u'CharStartX': 1647, u'CharStartY': 452, u'CharCN': u'9', u'CharID': 10, u'CharValue': u's', u'CharHeight': 29}, {u'CharWidth': 17, u'CharStartX': 1675, u'CharStartY': 443, u'CharCN': u'9', u'CharID': 11, u'CharValue': u't', u'CharHeight': 38}, {u'CharWidth': 25, u'CharStartX': 1692, u'CharStartY': 452, u'CharCN': u'9', u'CharID': 12, u'CharValue': u's', u'CharHeight': 29}]",9,WCB Billing Process – Psychologists Example – Billing Summary,2,4,5,WCB Billing Process – Psychologists,2,16.0,13.8,False
5,TM000001,0,en-us,300,300,0,0,2550,3300,0,Block,831,442,886,155,1,950,550,653,47,0,Example,950,551,201,46,2,,12, swiss, bold, arial,9999999,"[{u'CharWidth': 27, u'CharStartX': 950, u'CharStartY': 551, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 0, u'CharValue': u'E', u'CharHeight': 36}, {u'CharWidth': 27, u'CharStartX': 981, u'CharStartY': 561, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 1, u'CharValue': u'x', u'CharHeight': 26}, {u'CharWidth': 26, u'CharStartX': 1010, u'CharStartY': 560, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 2, u'CharValue': u'a', u'CharHeight': 27}, {u'CharWidth': 38, u'CharStartX': 1040, u'CharStartY': 560, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 3, u'CharValue': u'm', u'CharHeight': 27}, {u'CharWidth': 27, u'CharStartX': 1083, u'CharStartY': 560, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 4, u'CharValue': u'p', u'CharHeight': 37}, {u'CharWidth': 7, u'CharStartX': 1115, u'CharStartY': 551, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 5, u'CharValue': u'l', u'CharHeight': 36}, {u'CharWidth': 25, u'CharStartX': 1126, u'CharStartY': 560, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 6, u'CharValue': u'e', u'CharHeight': 27}]",9,WCB Billing Process – Psychologists Example – Billing Summary,2,4,4,Example – Billing Summary,2,0.0,12.75,False
6,TM000001,0,en-us,300,300,0,0,2550,3300,0,Block,831,442,886,155,1,950,550,653,47,1,–,1166,571,29,6,3,,16, swiss,, arial,9,"[{u'CharWidth': 29, u'CharStartX': 1166, u'CharStartY': 571, u'CharStyle': u'3', u'CharCN': u'9', u'CharID': 0, u'CharValue': u'–', u'CharHeight': 6}]",9,WCB Billing Process – Psychologists Example – Billing Summary,2,4,4,Example – Billing Summary,2,15.0,12.75,False
7,TM000001,0,en-us,300,300,0,0,2550,3300,0,Block,831,442,886,155,1,950,550,653,47,2,Billing,1212,551,146,46,2,,12, swiss, bold, arial,9999999,"[{u'CharWidth': 30, u'CharStartX': 1212, u'CharStartY': 551, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 0, u'CharValue': u'B', u'CharHeight': 36}, {u'CharWidth': 9, u'CharStartX': 1247, u'CharStartY': 551, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 1, u'CharValue': u'i', u'CharHeight': 36}, {u'CharWidth': 8, u'CharStartX': 1262, u'CharStartY': 551, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 2, u'CharValue': u'l', u'CharHeight': 36}, {u'CharWidth': 7, u'CharStartX': 1276, u'CharStartY': 551, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 3, u'CharValue': u'l', u'CharHeight': 36}, {u'CharWidth': 7, u'CharStartX': 1290, u'CharStartY': 551, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 4, u'CharValue': u'i', u'CharHeight': 36}, {u'CharWidth': 25, u'CharStartX': 1303, u'CharStartY': 560, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 5, u'CharValue': u'n', u'CharHeight': 27}, {u'CharWidth': 26, u'CharStartX': 1332, u'CharStartY': 560, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 6, u'CharValue': u'g', u'CharHeight': 37}]",9,WCB Billing Process – Psychologists Example – Billing Summary,2,4,4,Example – Billing Summary,2,17.0,12.75,False
8,TM000001,0,en-us,300,300,0,0,2550,3300,0,Block,831,442,886,155,1,950,550,653,47,3,Summary,1377,550,226,47,2,,12, swiss, bold, arial,9999999,"[{u'CharWidth': 30, u'CharStartX': 1377, u'CharStartY': 550, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 0, u'CharValue': u'S', u'CharHeight': 37}, {u'CharWidth': 25, u'CharStartX': 1412, u'CharStartY': 561, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 1, u'CharValue': u'u', u'CharHeight': 26}, {u'CharWidth': 39, u'CharStartX': 1442, u'CharStartY': 560, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 2, u'CharValue': u'm', u'CharHeight': 27}, {u'CharWidth': 39, u'CharStartX': 1487, u'CharStartY': 560, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 3, u'CharValue': u'm', u'CharHeight': 27}, {u'CharWidth': 27, u'CharStartX': 1528, u'CharStartY': 560, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 4, u'CharValue': u'a', u'CharHeight': 27}, {u'CharWidth': 19, u'CharStartX': 1558, u'CharStartY': 560, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 5, u'CharValue': u'r', u'CharHeight': 27}, {u'CharWidth': 27, u'CharStartX': 1576, u'CharStartY': 561, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 6, u'CharValue': u'y', u'CharHeight': 36}]",9,WCB Billing Process – Psychologists Example – Billing Summary,2,4,4,Example – Billing Summary,2,19.0,12.75,False
9,TM000001,0,en-us,300,300,0,0,2550,3300,1,Block,1030,1608,1247,65,0,1055,1622,1156,43,0,Total,1055,1626,88,31,4,,10, swiss,, arial,99999,"[{u'CharWidth': 23, u'CharStartX': 1055, u'CharStartY': 1626, u'CharStyle': u'4', u'CharCN': u'9', u'CharID': 0, u'CharValue': u'T', u'CharHeight': 30}, {u'CharWidth': 21, u'CharStartX': 1081, u'CharStartY': 1633, u'CharStyle': u'4', u'CharCN': u'9', u'CharID': 1, u'CharValue': u'o', u'CharHeight': 24}, {u'CharWidth': 13, u'CharStartX': 1102, u'CharStartY': 1626, u'CharStyle': u'4', u'CharCN': u'9', u'CharID': 2, u'CharValue': u't', u'CharHeight': 31}, {u'CharWidth': 21, u'CharStartX': 1115, u'CharStartY': 1633, u'CharStyle': u'4', u'CharCN': u'9', u'CharID': 3, u'CharValue': u'a', u'CharHeight': 24}, {u'CharWidth': 5, u'CharStartX': 1138, u'CharStartY': 1626, u'CharStyle': u'4', u'CharCN': u'9', u'CharID': 4, u'CharValue': u'l', u'CharHeight': 30}]",8,"Total of all services for billing period: $2,641.44",1,8,8,"Total of all services for billing period: $2,641.44",1,0.0,48.5,False
