,AvgLineDensity,FontColor,FontFamily,FontName,FontSize,FontWeight,LineHeight,LineID,LineStartX,LineStartY,LineText,LineWidth,PageNo,TextGroupSeparator,WordDistance,WordHeight,WordID,WordStartX,WordStartY,WordValue,WordWidth
0,11.0,, swiss, arial,9, bold,40,0,151,451,Set up your direct deposits and pre-authorized payments easily and conveniently,1607,0,False,0.0,31,0,151,451,Set,64
1,11.0,, swiss, arial,9, bold,40,0,151,451,Set up your direct deposits and pre-authorized payments easily and conveniently,1607,0,False,12.0,33,1,227,458,up,49
2,11.0,, swiss, arial,9, bold,40,0,151,451,Set up your direct deposits and pre-authorized payments easily and conveniently,1607,0,False,12.0,33,2,288,458,your,92
3,11.0,, swiss, arial,9, bold,40,0,151,451,Set up your direct deposits and pre-authorized payments easily and conveniently,1607,0,False,12.0,30,3,392,452,direct,113
4,11.0,, swiss, arial,9, bold,40,0,151,451,Set up your direct deposits and pre-authorized payments easily and conveniently,1607,0,False,12.0,39,4,517,452,deposits,169
5,11.0,, swiss, arial,9, bold,40,0,151,451,Set up your direct deposits and pre-authorized payments easily and conveniently,1607,0,False,14.0,30,5,700,452,and,71
6,11.0,, swiss, arial,9, bold,40,0,151,451,Set up your direct deposits and pre-authorized payments easily and conveniently,1607,0,False,16.0,39,6,787,452,pre-authorized,284
7,11.0,, swiss, arial,9, bold,40,0,151,451,Set up your direct deposits and pre-authorized payments easily and conveniently,1607,0,False,16.0,39,7,1087,452,payments,191
8,11.0,, swiss, arial,9, bold,40,0,151,451,Set up your direct deposits and pre-authorized payments easily and conveniently,1607,0,False,14.0,39,8,1292,452,easily,115
9,11.0,, swiss, arial,9, bold,40,0,151,451,Set up your direct deposits and pre-authorized payments easily and conveniently,1607,0,False,13.0,30,9,1420,452,and,71
10,11.0,, swiss, arial,9, bold,40,0,151,451,Set up your direct deposits and pre-authorized payments easily and conveniently,1607,0,False,15.0,39,10,1506,452,conveniently,252
11,17.0,, swiss, arial,9,,37,0,152,533,Direct Deposit is a fast and easy way to receive your payroll or other deposits directly into your chequing account.,1875,0,False,0.0,27,0,152,535,Direct,95
12,17.0,, swiss, arial,9,,37,0,152,533,Direct Deposit is a fast and easy way to receive your payroll or other deposits directly into your chequing account.,1875,0,False,13.0,35,1,260,535,Deposit,126
13,17.0,, swiss, arial,9,,37,0,152,533,Direct Deposit is a fast and easy way to receive your payroll or other deposits directly into your chequing account.,1875,0,False,11.0,27,2,397,535,is,25
14,17.0,, swiss, arial,9,,37,0,152,533,Direct Deposit is a fast and easy way to receive your payroll or other deposits directly into your chequing account.,1875,0,False,11.0,20,3,433,542,a,19
15,17.0,, swiss, arial,9,,37,0,152,533,Direct Deposit is a fast and easy way to receive your payroll or other deposits directly into your chequing account.,1875,0,False,13.0,29,4,465,533,fast,60
16,17.0,, swiss, arial,9,,37,0,152,533,Direct Deposit is a fast and easy way to receive your payroll or other deposits directly into your chequing account.,1875,0,False,11.0,27,5,536,535,and,60
17,17.0,, swiss, arial,9,,37,0,152,533,Direct Deposit is a fast and easy way to receive your payroll or other deposits directly into your chequing account.,1875,0,False,12.0,28,6,608,542,easy,79
18,17.0,, swiss, arial,9,,37,0,152,533,Direct Deposit is a fast and easy way to receive your payroll or other deposits directly into your chequing account.,1875,0,False,10.0,28,7,697,542,way,68
19,17.0,, swiss, arial,9,,37,0,152,533,Direct Deposit is a fast and easy way to receive your payroll or other deposits directly into your chequing account.,1875,0,False,10.0,27,8,775,535,to,30
20,17.0,, swiss, arial,9,,37,0,152,533,Direct Deposit is a fast and easy way to receive your payroll or other deposits directly into your chequing account.,1875,0,False,12.0,27,9,817,535,receive,120
21,17.0,, swiss, arial,9,,37,0,152,533,Direct Deposit is a fast and easy way to receive your payroll or other deposits directly into your chequing account.,1875,0,False,10.0,28,10,947,542,your,74
22,17.0,, swiss, arial,9,,37,0,152,533,Direct Deposit is a fast and easy way to receive your payroll or other deposits directly into your chequing account.,1875,0,False,11.0,35,11,1032,535,payroll,108
23,17.0,, swiss, arial,9,,37,0,152,533,Direct Deposit is a fast and easy way to receive your payroll or other deposits directly into your chequing account.,1875,0,False,13.0,20,12,1153,542,or,33
24,17.0,, swiss, arial,9,,37,0,152,533,Direct Deposit is a fast and easy way to receive your payroll or other deposits directly into your chequing account.,1875,0,False,11.0,27,13,1197,535,other,85
25,17.0,, swiss, arial,9,,37,0,152,533,Direct Deposit is a fast and easy way to receive your payroll or other deposits directly into your chequing account.,1875,0,False,10.0,35,14,1292,535,deposits,139
26,17.0,, swiss, arial,9,,37,0,152,533,Direct Deposit is a fast and easy way to receive your payroll or other deposits directly into your chequing account.,1875,0,False,12.0,35,15,1443,535,directly,119
27,17.0,, swiss, arial,9,,37,0,152,533,Direct Deposit is a fast and easy way to receive your payroll or other deposits directly into your chequing account.,1875,0,False,10.0,27,16,1572,535,into,59
28,17.0,, swiss, arial,9,,37,0,152,533,Direct Deposit is a fast and easy way to receive your payroll or other deposits directly into your chequing account.,1875,0,False,11.0,28,17,1642,542,your,74
29,17.0,, swiss, arial,9,,37,0,152,533,Direct Deposit is a fast and easy way to receive your payroll or other deposits directly into your chequing account.,1875,0,False,11.0,35,18,1727,535,chequing,149
30,17.0,, swiss, arial,9,,37,0,152,533,Direct Deposit is a fast and easy way to receive your payroll or other deposits directly into your chequing account.,1875,0,False,14.0,27,19,1890,535,account.,137
31,17.0,, swiss, arial,9,,35,1,152,602,Pre-authorized Payment is a convenient way to automatically pay your bills from your chequing account.,1721,0,False,0.0,29,0,152,602,Pre-authorized,241
32,17.0,, swiss, arial,9,,35,1,152,602,Pre-authorized Payment is a convenient way to automatically pay your bills from your chequing account.,1721,0,False,14.0,35,1,407,602,Payment,148
33,17.0,, swiss, arial,9,,35,1,152,602,Pre-authorized Payment is a convenient way to automatically pay your bills from your chequing account.,1721,0,False,12.0,29,2,567,602,is,24
34,17.0,, swiss, arial,9,,35,1,152,602,Pre-authorized Payment is a convenient way to automatically pay your bills from your chequing account.,1721,0,False,11.0,21,3,602,610,a,20
35,17.0,, swiss, arial,9,,35,1,152,602,Pre-authorized Payment is a convenient way to automatically pay your bills from your chequing account.,1721,0,False,13.0,29,4,635,602,convenient,180
36,17.0,, swiss, arial,9,,35,1,152,602,Pre-authorized Payment is a convenient way to automatically pay your bills from your chequing account.,1721,0,False,11.0,27,5,826,610,way,66
37,17.0,, swiss, arial,9,,35,1,152,602,Pre-authorized Payment is a convenient way to automatically pay your bills from your chequing account.,1721,0,False,10.0,29,6,902,602,to,30
38,17.0,, swiss, arial,9,,35,1,152,602,Pre-authorized Payment is a convenient way to automatically pay your bills from your chequing account.,1721,0,False,13.0,35,7,945,602,automatically,217
39,17.0,, swiss, arial,9,,35,1,152,602,Pre-authorized Payment is a convenient way to automatically pay your bills from your chequing account.,1721,0,False,13.0,27,8,1175,610,pay,57
40,17.0,, swiss, arial,9,,35,1,152,602,Pre-authorized Payment is a convenient way to automatically pay your bills from your chequing account.,1721,0,False,11.0,27,9,1243,610,your,74
41,17.0,, swiss, arial,9,,35,1,152,602,Pre-authorized Payment is a convenient way to automatically pay your bills from your chequing account.,1721,0,False,11.0,29,10,1328,602,bills,64
42,17.0,, swiss, arial,9,,35,1,152,602,Pre-authorized Payment is a convenient way to automatically pay your bills from your chequing account.,1721,0,False,10.0,29,11,1402,602,from,73
