,AvgLineDensity,FontColor,FontFamily,FontName,FontSize,FontWeight,LineHeight,LineID,LineStartX,LineStartY,LineText,LineWidth,PageNo,TextGroupSeparator,WordDistance,WordHeight,WordID,WordStartX,WordStartY,WordValue,WordWidth
0,4.0,, swiss, arial,12, bold,49,0,831,442,WCB Billing Process – Psychologists,886,0,False,0.0,39,0,831,442,WCB,116
1,4.0,, swiss, arial,12, bold,49,0,831,442,WCB Billing Process – Psychologists,886,0,False,20.0,48,1,967,443,Billing,148
2,4.0,, swiss, arial,12, bold,49,0,831,442,WCB Billing Process – Psychologists,886,0,False,18.0,38,2,1133,443,Process,189
3,4.0,, swiss, arial,16,,49,0,831,442,WCB Billing Process – Psychologists,886,0,False,15.0,7,3,1337,463,–,30
4,4.0,,,,,,49,0,831,442,WCB Billing Process – Psychologists,886,0,False,16.0,48,4,1383,443,Psychologists,334
5,4.0,, swiss, arial,12, bold,47,1,950,550,Example – Billing Summary,653,0,False,0.0,46,0,950,551,Example,201
6,4.0,, swiss, arial,16,,47,1,950,550,Example – Billing Summary,653,0,False,15.0,6,1,1166,571,–,29
7,4.0,, swiss, arial,12, bold,47,1,950,550,Example – Billing Summary,653,0,False,17.0,46,2,1212,551,Billing,146
8,4.0,, swiss, arial,12, bold,47,1,950,550,Example – Billing Summary,653,0,False,19.0,47,3,1377,550,Summary,226
9,8.0,, swiss, arial,10,,43,0,1055,1622,"Total of all services for billing period: $2,641.44",1156,0,False,0.0,31,0,1055,1626,Total,88
10,8.0,, swiss, arial,10,,43,0,1055,1622,"Total of all services for billing period: $2,641.44",1156,0,False,15.0,32,1,1158,1625,of,35
11,8.0,, swiss, arial,10,,43,0,1055,1622,"Total of all services for billing period: $2,641.44",1156,0,False,12.0,31,2,1205,1626,all,37
12,8.0,, swiss, arial,10,,43,0,1055,1622,"Total of all services for billing period: $2,641.44",1156,0,False,15.0,31,3,1257,1626,services,151
13,8.0,, swiss, arial,10,,43,0,1055,1622,"Total of all services for billing period: $2,641.44",1156,0,False,13.0,32,4,1421,1625,for,50
14,8.0,, swiss, arial,10,,43,0,1055,1622,"Total of all services for billing period: $2,641.44",1156,0,False,12.0,39,5,1483,1626,billing,103
15,8.0,, swiss, arial,10,,43,0,1055,1622,"Total of all services for billing period: $2,641.44",1156,0,False,15.0,39,6,1601,1626,period:,121
16,8.0,, swiss, arial,10,,43,0,1055,1622,"Total of all services for billing period: $2,641.44",1156,0,True,306.0,40,7,2028,1622,"$2,641.44",183
17,8.0,, swiss, arial,10,,38,0,302,1730,"Billing period is June 1 to 30, 2016",634,0,False,0.0,38,0,302,1730,Billing,106
18,8.0,, swiss, arial,10,,38,0,302,1730,"Billing period is June 1 to 30, 2016",634,0,False,17.0,38,1,425,1730,period,111
19,8.0,, swiss, arial,10,,38,0,302,1730,"Billing period is June 1 to 30, 2016",634,0,False,16.0,31,2,552,1730,is,26
20,8.0,, swiss, arial,10,,38,0,302,1730,"Billing period is June 1 to 30, 2016",634,0,False,14.0,31,3,592,1730,June,88
21,8.0,, swiss, arial,10,,38,0,302,1730,"Billing period is June 1 to 30, 2016",634,0,False,17.0,30,4,697,1730,1,11
22,8.0,, swiss, arial,10,,38,0,302,1730,"Billing period is June 1 to 30, 2016",634,0,False,19.0,31,5,727,1730,to,35
23,8.0,, swiss, arial,10,,38,0,302,1730,"Billing period is June 1 to 30, 2016",634,0,False,13.0,36,6,775,1730,"30,",53
24,8.0,, swiss, arial,10,,38,0,302,1730,"Billing period is June 1 to 30, 2016",634,0,False,17.0,31,7,845,1730,2016,91
25,7.0,, swiss, arial,10,,36,0,301,1825,"Treatment start date is June 12, 2016",690,0,False,0.0,31,0,301,1825,Treatment,189
26,7.0,, swiss, arial,10,,36,0,301,1825,"Treatment start date is June 12, 2016",690,0,False,12.0,31,1,502,1825,start,80
27,7.0,, swiss, arial,10,,36,0,301,1825,"Treatment start date is June 12, 2016",690,0,False,13.0,31,2,595,1825,date,77
28,7.0,, swiss, arial,10,,36,0,301,1825,"Treatment start date is June 12, 2016",690,0,False,15.0,31,3,687,1825,is,28
29,7.0,, swiss, arial,10,,36,0,301,1825,"Treatment start date is June 12, 2016",690,0,False,13.0,31,4,728,1825,June,89
30,7.0,, swiss, arial,10,,36,0,301,1825,"Treatment start date is June 12, 2016",690,0,False,16.0,36,5,833,1825,"12,",50
31,7.0,, swiss, arial,10,,36,0,301,1825,"Treatment start date is June 12, 2016",690,0,False,17.0,31,6,900,1825,2016,91
32,16.0,, swiss, arial,10,,40,0,301,1920,Service provided was a three hour Initial Assessment (PHD) and a 15 hour Mental Health Assessment.,1889,0,False,0.0,32,0,301,1920,Service,136
33,16.0,, swiss, arial,10,,40,0,301,1920,Service provided was a three hour Initial Assessment (PHD) and a 15 hour Mental Health Assessment.,1889,0,False,15.0,39,1,452,1921,provided,155
34,16.0,, swiss, arial,10,,40,0,301,1920,Service provided was a three hour Initial Assessment (PHD) and a 15 hour Mental Health Assessment.,1889,0,False,15.0,24,2,622,1928,was,71
35,16.0,, swiss, arial,10,,40,0,301,1920,Service provided was a three hour Initial Assessment (PHD) and a 15 hour Mental Health Assessment.,1889,0,False,14.0,24,3,707,1928,a,21
36,16.0,, swiss, arial,10,,40,0,301,1920,Service provided was a three hour Initial Assessment (PHD) and a 15 hour Mental Health Assessment.,1889,0,False,14.0,31,4,742,1921,three,94
37,16.0,, swiss, arial,10,,40,0,301,1920,Service provided was a three hour Initial Assessment (PHD) and a 15 hour Mental Health Assessment.,1889,0,False,15.0,31,5,851,1921,hour,81
38,16.0,, swiss, arial,10,,40,0,301,1920,Service provided was a three hour Initial Assessment (PHD) and a 15 hour Mental Health Assessment.,1889,0,False,15.0,31,6,947,1921,Initial,91
39,16.0,, swiss, arial,10,,40,0,301,1920,Service provided was a three hour Initial Assessment (PHD) and a 15 hour Mental Health Assessment.,1889,0,False,13.0,31,7,1051,1921,Assessment,229
