,Unnamed: 0,AvgLineDensity,FontColor,FontFamily,FontName,FontSize,FontWeight,LineHeight,LineID,LineStartX,LineStartY,LineText,LineWidth,PageNo,TextGroupSeparator,WordDistance,WordHeight,WordID,WordStartX,WordStartY,WordValue,WordWidth,extre,fontposition,topposition,centerposition,bolding,Title_Ratio
0,0,2.0,, swiss, arial,14.0, bold,31,0,1126,191,ST MICHAELS,296,0,False,0,31,0,1126,191,ST,52,0,5,5,5,1,16
1,1,2.0,, swiss, arial,14.0, bold,31,0,1126,191,ST MICHAELS,296,0,True,18,31,1,1196,191,MICHAELS,226,0,5,5,5,1,16
2,2,2.0,, swiss, arial,24.0, bold,45,0,950,242,REGISTRATION FORM,647,0,False,0,45,0,950,242,REGISTRATION,451,1,6,5,5,1,18
3,3,2.0,, swiss, arial,24.0, bold,45,0,950,242,REGISTRATION FORM,647,0,True,27,45,1,1428,242,FORM,169,1,6,5,5,1,18
4,4,2.0,, swiss, arial,8.0,,31,0,1176,307,(Please Print),199,0,False,0,31,0,1176,307,(Please,109,0,1,5,5,0,11
5,5,2.0,, swiss, arial,8.0,,31,0,1176,307,(Please Print),199,0,True,12,31,1,1297,307,Print),78,0,1,5,5,0,11
6,6,4.0,0.0, swiss, arial,10.0, bold,31,0,1001,2610,IN CASE OF EMERGENCY,549,0,False,0,30,0,1001,2610,IN,37,0,5,0,5,1,11
7,7,4.0,0.0, swiss, arial,10.0, bold,31,0,1001,2610,IN CASE OF EMERGENCY,549,0,False,19,31,1,1057,2610,CASE,119,0,5,0,5,1,11
8,8,4.0,0.0, swiss, arial,10.0, bold,31,0,1001,2610,IN CASE OF EMERGENCY,549,0,False,17,31,2,1193,2610,OF,58,0,5,0,5,1,11
9,9,4.0,0.0, swiss, arial,10.0, bold,31,0,1001,2610,IN CASE OF EMERGENCY,549,0,False,19,31,3,1270,2610,EMERGENCY,280,0,5,0,5,1,11
10,10,13.0,, swiss, arial,8.0,,32,0,225,2803,The above information is true to the best of my knowledge. I authorize my insurance benefits be paid directly to the physician. I understand,2038,0,False,0,25,0,225,2803,The,56,0,1,0,3,0,4
11,11,13.0,, swiss, arial,8.0,,32,0,225,2803,The above information is true to the best of my knowledge. I authorize my insurance benefits be paid directly to the physician. I understand,2038,0,False,11,25,1,292,2803,above,89,0,1,0,3,0,4
12,12,13.0,, swiss, arial,8.0,,32,0,225,2803,The above information is true to the best of my knowledge. I authorize my insurance benefits be paid directly to the physician. I understand,2038,0,False,12,25,2,393,2803,information,162,0,1,0,3,0,4
13,13,13.0,, swiss, arial,8.0,,32,0,225,2803,The above information is true to the best of my knowledge. I authorize my insurance benefits be paid directly to the physician. I understand,2038,0,False,12,25,3,567,2803,is,21,0,1,0,3,0,4
14,14,13.0,, swiss, arial,8.0,,32,0,225,2803,The above information is true to the best of my knowledge. I authorize my insurance benefits be paid directly to the physician. I understand,2038,0,False,10,25,4,598,2803,TRUE,57,0,1,0,3,0,4
15,15,13.0,, swiss, arial,8.0,,32,0,225,2803,The above information is true to the best of my knowledge. I authorize my insurance benefits be paid directly to the physician. I understand,2038,0,False,11,25,5,666,2803,to,26,0,1,0,3,0,4
16,16,13.0,, swiss, arial,8.0,,32,0,225,2803,The above information is true to the best of my knowledge. I authorize my insurance benefits be paid directly to the physician. I understand,2038,0,False,10,25,6,702,2803,the,45,0,1,0,3,0,4
17,17,13.0,, swiss, arial,8.0,,32,0,225,2803,The above information is true to the best of my knowledge. I authorize my insurance benefits be paid directly to the physician. I understand,2038,0,False,14,25,7,761,2803,best,61,0,1,0,3,0,4
18,18,13.0,, swiss, arial,8.0,,32,0,225,2803,The above information is true to the best of my knowledge. I authorize my insurance benefits be paid directly to the physician. I understand,2038,0,False,10,25,8,832,2803,of,29,0,1,0,3,0,4
19,19,13.0,, swiss, arial,8.0,,32,0,225,2803,The above information is true to the best of my knowledge. I authorize my insurance benefits be paid directly to the physician. I understand,2038,0,False,9,25,9,870,2810,my,42,0,1,0,3,0,4
20,20,13.0,, swiss, arial,8.0,,32,0,225,2803,The above information is true to the best of my knowledge. I authorize my insurance benefits be paid directly to the physician. I understand,2038,0,False,11,32,10,923,2803,knowledge.,164,0,1,0,3,0,4
21,21,13.0,, swiss, arial,8.0,,32,0,225,2803,The above information is true to the best of my knowledge. I authorize my insurance benefits be paid directly to the physician. I understand,2038,0,False,15,24,11,1102,2803,I,5,0,1,0,3,0,4
22,22,13.0,, swiss, arial,8.0,,32,0,225,2803,The above information is true to the best of my knowledge. I authorize my insurance benefits be paid directly to the physician. I understand,2038,0,False,11,25,12,1118,2803,authorize,135,0,1,0,3,0,4
23,23,13.0,, swiss, arial,8.0,,32,0,225,2803,The above information is true to the best of my knowledge. I authorize my insurance benefits be paid directly to the physician. I understand,2038,0,False,14,25,13,1267,2810,my,43,0,1,0,3,0,4
24,24,13.0,, swiss, arial,8.0,,32,0,225,2803,The above information is true to the best of my knowledge. I authorize my insurance benefits be paid directly to the physician. I understand,2038,0,False,11,25,14,1321,2803,insurance,141,0,1,0,3,0,4
25,25,13.0,, swiss, arial,8.0,,32,0,225,2803,The above information is true to the best of my knowledge. I authorize my insurance benefits be paid directly to the physician. I understand,2038,0,False,11,25,15,1473,2803,benefits,114,0,1,0,3,0,4
