,PageID,PageNo,Lang,XDPI,YDPI,PageStartX,PageStartY,PageWidth,PageHeight,BlockID,BlockType,BlockStartX,BlockStartY,BlockWidth,BlockHeight,LineID,LineStartX,LineStartY,LineWidth,LineHeight,WordID,WordValue,WordStartX,WordStartY,WordWidth,WordHeight,WordStyle,FontColor,FontSize,FontFamily,FontWeight,FontName,WordCN,CharList,BlockWordCount,BlockText,LineCount,AvgLineDensity,LineWordCount,LineText,WordStyleCount,WordDistance,AvgWordDistance,TextGroupSeparator
0,TM000001,0,en-us,300,300,0,0,2550,3300,0,Block,617,800,1535,56,0,617,800,1535,56,0,Tyco,617,801,109,55,2,None,12.5, swiss, bold, comic sans ms,9999,"[{u'CharWidth': 28, u'CharStartX': 617, u'CharStartY': 801, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 0, u'CharValue': u'T', u'CharHeight': 41}, {u'CharWidth': 26, u'CharStartX': 645, u'CharStartY': 812, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 1, u'CharValue': u'y', u'CharHeight': 44}, {u'CharWidth': 24, u'CharStartX': 673, u'CharStartY': 812, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 2, u'CharValue': u'c', u'CharHeight': 31}, {u'CharWidth': 28, u'CharStartX': 698, u'CharStartY': 812, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 3, u'CharValue': u'o', u'CharHeight': 31}]",8,Tyco Australia Pty Limited TAX INVOICE NUMBER: 611656,1,8,8,Tyco Australia Pty Limited TAX INVOICE NUMBER: 611656,3,0.0,57.125,False
1,TM000001,0,en-us,300,300,0,0,2550,3300,0,Block,617,800,1535,56,0,617,800,1535,56,1,Australia,741,801,202,42,2,None,12.5, swiss, bold, comic sans ms,999999999,"[{u'CharWidth': 35, u'CharStartX': 741, u'CharStartY': 801, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 0, u'CharValue': u'A', u'CharHeight': 41}, {u'CharWidth': 24, u'CharStartX': 777, u'CharStartY': 812, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 1, u'CharValue': u'u', u'CharHeight': 31}, {u'CharWidth': 24, u'CharStartX': 806, u'CharStartY': 812, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 2, u'CharValue': u's', u'CharHeight': 31}, {u'CharWidth': 16, u'CharStartX': 831, u'CharStartY': 802, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 3, u'CharValue': u't', u'CharHeight': 41}, {u'CharWidth': 17, u'CharStartX': 850, u'CharStartY': 812, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 4, u'CharValue': u'r', u'CharHeight': 30}, {u'CharWidth': 24, u'CharStartX': 867, u'CharStartY': 812, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 5, u'CharValue': u'a', u'CharHeight': 31}, {u'CharWidth': 7, u'CharStartX': 895, u'CharStartY': 801, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 6, u'CharValue': u'l', u'CharHeight': 41}, {u'CharWidth': 8, u'CharStartX': 908, u'CharStartY': 801, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 7, u'CharValue': u'i', u'CharHeight': 41}, {u'CharWidth': 23, u'CharStartX': 920, u'CharStartY': 812, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 8, u'CharValue': u'a', u'CharHeight': 31}]",8,Tyco Australia Pty Limited TAX INVOICE NUMBER: 611656,1,8,8,Tyco Australia Pty Limited TAX INVOICE NUMBER: 611656,3,15.0,57.125,False
2,TM000001,0,en-us,300,300,0,0,2550,3300,0,Block,617,800,1535,56,0,617,800,1535,56,2,Pty,962,801,70,55,2,None,12.5, swiss, bold, comic sans ms,999,"[{u'CharWidth': 26, u'CharStartX': 962, u'CharStartY': 801, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 0, u'CharValue': u'P', u'CharHeight': 41}, {u'CharWidth': 16, u'CharStartX': 991, u'CharStartY': 802, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 1, u'CharValue': u't', u'CharHeight': 41}, {u'CharWidth': 25, u'CharStartX': 1007, u'CharStartY': 812, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 2, u'CharValue': u'y', u'CharHeight': 44}]",8,Tyco Australia Pty Limited TAX INVOICE NUMBER: 611656,1,8,8,Tyco Australia Pty Limited TAX INVOICE NUMBER: 611656,3,19.0,57.125,False
3,TM000001,0,en-us,300,300,0,0,2550,3300,0,Block,617,800,1535,56,0,617,800,1535,56,3,Limited,1050,801,165,42,2,None,12.5, swiss, bold, comic sans ms,9999999,"[{u'CharWidth': 25, u'CharStartX': 1050, u'CharStartY': 801, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 0, u'CharValue': u'L', u'CharHeight': 41}, {u'CharWidth': 8, u'CharStartX': 1078, u'CharStartY': 801, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 1, u'CharValue': u'i', u'CharHeight': 41}, {u'CharWidth': 37, u'CharStartX': 1091, u'CharStartY': 812, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 2, u'CharValue': u'm', u'CharHeight': 30}, {u'CharWidth': 7, u'CharStartX': 1135, u'CharStartY': 801, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 3, u'CharValue': u'i', u'CharHeight': 41}, {u'CharWidth': 16, u'CharStartX': 1145, u'CharStartY': 802, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 4, u'CharValue': u't', u'CharHeight': 41}, {u'CharWidth': 24, u'CharStartX': 1162, u'CharStartY': 812, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 5, u'CharValue': u'e', u'CharHeight': 31}, {u'CharWidth': 27, u'CharStartX': 1188, u'CharStartY': 801, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 6, u'CharValue': u'd', u'CharHeight': 42}]",8,Tyco Australia Pty Limited TAX INVOICE NUMBER: 611656,1,8,8,Tyco Australia Pty Limited TAX INVOICE NUMBER: 611656,3,18.0,57.125,False
4,TM000001,0,en-us,300,300,0,0,2550,3300,0,Block,617,800,1535,56,0,617,800,1535,56,4,TAX,1531,803,75,34,3, 5f5f5f,9.5, swiss, bold, comic sans ms,999,"[{u'CharWidth': 21, u'CharStartX': 1531, u'CharStartY': 803, u'CharStyle': u'3', u'CharCN': u'9', u'CharID': 0, u'CharValue': u'T', u'CharHeight': 34}, {u'CharWidth': 27, u'CharStartX': 1553, u'CharStartY': 803, u'CharStyle': u'3', u'CharCN': u'9', u'CharID': 1, u'CharValue': u'A', u'CharHeight': 34}, {u'CharWidth': 25, u'CharStartX': 1581, u'CharStartY': 803, u'CharStyle': u'3', u'CharCN': u'9', u'CharID': 2, u'CharValue': u'X', u'CharHeight': 34}]",8,Tyco Australia Pty Limited TAX INVOICE NUMBER: 611656,1,8,8,Tyco Australia Pty Limited TAX INVOICE NUMBER: 611656,3,316.0,57.125,True
5,TM000001,0,en-us,300,300,0,0,2550,3300,0,Block,617,800,1535,56,0,617,800,1535,56,5,INVOICE,1618,803,150,34,3, 5f5f5f,9.5, swiss, bold, comic sans ms,9999999,"[{u'CharWidth': 7, u'CharStartX': 1618, u'CharStartY': 803, u'CharStyle': u'3', u'CharCN': u'9', u'CharID': 0, u'CharValue': u'I', u'CharHeight': 34}, {u'CharWidth': 23, u'CharStartX': 1628, u'CharStartY': 803, u'CharStyle': u'3', u'CharCN': u'9', u'CharID': 1, u'CharValue': u'N', u'CharHeight': 34}, {u'CharWidth': 25, u'CharStartX': 1653, u'CharStartY': 803, u'CharStyle': u'3', u'CharCN': u'9', u'CharID': 2, u'CharValue': u'V', u'CharHeight': 34}, {u'CharWidth': 27, u'CharStartX': 1680, u'CharStartY': 803, u'CharStyle': u'3', u'CharCN': u'9', u'CharID': 3, u'CharValue': u'O', u'CharHeight': 34}, {u'CharWidth': 6, u'CharStartX': 1711, u'CharStartY': 803, u'CharStyle': u'3', u'CharCN': u'9', u'CharID': 4, u'CharValue': u'I', u'CharHeight': 34}, {u'CharWidth': 23, u'CharStartX': 1720, u'CharStartY': 803, u'CharStyle': u'3', u'CharCN': u'9', u'CharID': 5, u'CharValue': u'C', u'CharHeight': 34}, {u'CharWidth': 21, u'CharStartX': 1747, u'CharStartY': 803, u'CharStyle': u'3', u'CharCN': u'9', u'CharID': 6, u'CharValue': u'E', u'CharHeight': 34}]",8,Tyco Australia Pty Limited TAX INVOICE NUMBER: 611656,1,8,8,Tyco Australia Pty Limited TAX INVOICE NUMBER: 611656,3,12.0,57.125,False
6,TM000001,0,en-us,300,300,0,0,2550,3300,0,Block,617,800,1535,56,0,617,800,1535,56,6,NUMBER:,1783,803,172,34,3, 5f5f5f,9.5, swiss, bold, comic sans ms,9999999,"[{u'CharWidth': 23, u'CharStartX': 1783, u'CharStartY': 803, u'CharStyle': u'3', u'CharCN': u'9', u'CharID': 0, u'CharValue': u'N', u'CharHeight': 34}, {u'CharWidth': 21, u'CharStartX': 1811, u'CharStartY': 803, u'CharStyle': u'3', u'CharCN': u'9', u'CharID': 1, u'CharValue': u'U', u'CharHeight': 34}, {u'CharWidth': 28, u'CharStartX': 1837, u'CharStartY': 803, u'CharStyle': u'3', u'CharCN': u'9', u'CharID': 2, u'CharValue': u'M', u'CharHeight': 34}, {u'CharWidth': 24, u'CharStartX': 1868, u'CharStartY': 803, u'CharStyle': u'3', u'CharCN': u'9', u'CharID': 3, u'CharValue': u'B', u'CharHeight': 34}, {u'CharWidth': 20, u'CharStartX': 1897, u'CharStartY': 803, u'CharStyle': u'3', u'CharCN': u'9', u'CharID': 4, u'CharValue': u'E', u'CharHeight': 34}, {u'CharWidth': 25, u'CharStartX': 1922, u'CharStartY': 803, u'CharStyle': u'3', u'CharCN': u'9', u'CharID': 5, u'CharValue': u'R', u'CharHeight': 34}, {u'CharWidth': 7, u'CharStartX': 1948, u'CharStartY': 812, u'CharStyle': u'3', u'CharCN': u'9', u'CharID': 6, u'CharValue': u':', u'CharHeight': 25}]",8,Tyco Australia Pty Limited TAX INVOICE NUMBER: 611656,1,8,8,Tyco Australia Pty Limited TAX INVOICE NUMBER: 611656,3,15.0,57.125,False
7,TM000001,0,en-us,300,300,0,0,2550,3300,0,Block,617,800,1535,56,0,617,800,1535,56,7,611656,2017,800,135,37,4,None,11.5, swiss, bold, comic sans ms,999999,"[{u'CharWidth': 20, u'CharStartX': 2017, u'CharStartY': 800, u'CharStyle': u'4', u'CharCN': u'9', u'CharID': 0, u'CharValue': u'6', u'CharHeight': 37}, {u'CharWidth': 14, u'CharStartX': 2042, u'CharStartY': 800, u'CharStyle': u'4', u'CharCN': u'9', u'CharID': 1, u'CharValue': u'1', u'CharHeight': 36}, {u'CharWidth': 13, u'CharStartX': 2065, u'CharStartY': 800, u'CharStyle': u'4', u'CharCN': u'9', u'CharID': 2, u'CharValue': u'1', u'CharHeight': 36}, {u'CharWidth': 21, u'CharStartX': 2085, u'CharStartY': 800, u'CharStyle': u'4', u'CharCN': u'9', u'CharID': 3, u'CharValue': u'6', u'CharHeight': 37}, {u'CharWidth': 21, u'CharStartX': 2107, u'CharStartY': 800, u'CharStyle': u'4', u'CharCN': u'9', u'CharID': 4, u'CharValue': u'5', u'CharHeight': 37}, {u'CharWidth': 21, u'CharStartX': 2131, u'CharStartY': 800, u'CharStyle': u'4', u'CharCN': u'9', u'CharID': 5, u'CharValue': u'6', u'CharHeight': 37}]",8,Tyco Australia Pty Limited TAX INVOICE NUMBER: 611656,1,8,8,Tyco Australia Pty Limited TAX INVOICE NUMBER: 611656,3,62.0,57.125,False
8,TM000001,0,en-us,300,300,0,0,2550,3300,1,Block,618,875,1593,68,0,618,875,1593,68,0,Locked,618,888,163,44,2,None,12.5, swiss, bold, comic sans ms,999999,"[{u'CharWidth': 25, u'CharStartX': 618, u'CharStartY': 888, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 0, u'CharValue': u'L', u'CharHeight': 43}, {u'CharWidth': 26, u'CharStartX': 646, u'CharStartY': 900, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 1, u'CharValue': u'o', u'CharHeight': 32}, {u'CharWidth': 24, u'CharStartX': 676, u'CharStartY': 900, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 2, u'CharValue': u'c', u'CharHeight': 32}, {u'CharWidth': 24, u'CharStartX': 703, u'CharStartY': 888, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 3, u'CharValue': u'k', u'CharHeight': 43}, {u'CharWidth': 24, u'CharStartX': 728, u'CharStartY': 900, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 4, u'CharValue': u'e', u'CharHeight': 32}, {u'CharWidth': 26, u'CharStartX': 755, u'CharStartY': 888, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 5, u'CharValue': u'd', u'CharHeight': 44}]",7,Locked Bag 3010 INVOICE DATE : 28-Nov-16,1,7,7,Locked Bag 3010 INVOICE DATE : 28-Nov-16,3,0.0,113.142857143,False
9,TM000001,0,en-us,300,300,0,0,2550,3300,1,Block,618,875,1593,68,0,618,875,1593,68,1,Bag,800,888,85,55,2,None,12.5, swiss, bold, comic sans ms,999,"[{u'CharWidth': 28, u'CharStartX': 800, u'CharStartY': 888, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 0, u'CharValue': u'B', u'CharHeight': 43}, {u'CharWidth': 24, u'CharStartX': 832, u'CharStartY': 900, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 1, u'CharValue': u'a', u'CharHeight': 32}, {u'CharWidth': 27, u'CharStartX': 858, u'CharStartY': 900, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 2, u'CharValue': u'g', u'CharHeight': 43}]",7,Locked Bag 3010 INVOICE DATE : 28-Nov-16,1,7,7,Locked Bag 3010 INVOICE DATE : 28-Nov-16,3,19.0,113.142857143,False
