,AvgLineDensity,FontColor,FontFamily,FontName,FontSize,FontWeight,LineHeight,LineID,LineStartX,LineStartY,LineText,LineWidth,PageNo,TextGroupSeparator,WordDistance,WordHeight,WordID,WordStartX,WordStartY,WordValue,WordWidth
0,8.0,, swiss, comic sans ms,12.5, bold,56,0,617,800,Tyco Australia Pty Limited TAX INVOICE NUMBER: 611656,1535,0,False,0.0,55,0,617,801,Tyco,109
1,8.0,, swiss, comic sans ms,12.5, bold,56,0,617,800,Tyco Australia Pty Limited TAX INVOICE NUMBER: 611656,1535,0,False,15.0,42,1,741,801,Australia,202
2,8.0,, swiss, comic sans ms,12.5, bold,56,0,617,800,Tyco Australia Pty Limited TAX INVOICE NUMBER: 611656,1535,0,False,19.0,55,2,962,801,Pty,70
3,8.0,, swiss, comic sans ms,12.5, bold,56,0,617,800,Tyco Australia Pty Limited TAX INVOICE NUMBER: 611656,1535,0,False,18.0,42,3,1050,801,Limited,165
4,8.0, 5f5f5f, swiss, comic sans ms,9.5, bold,56,0,617,800,Tyco Australia Pty Limited TAX INVOICE NUMBER: 611656,1535,0,True,316.0,34,4,1531,803,TAX,75
5,8.0, 5f5f5f, swiss, comic sans ms,9.5, bold,56,0,617,800,Tyco Australia Pty Limited TAX INVOICE NUMBER: 611656,1535,0,False,12.0,34,5,1618,803,INVOICE,150
6,8.0, 5f5f5f, swiss, comic sans ms,9.5, bold,56,0,617,800,Tyco Australia Pty Limited TAX INVOICE NUMBER: 611656,1535,0,False,15.0,34,6,1783,803,NUMBER:,172
7,8.0,, swiss, comic sans ms,11.5, bold,56,0,617,800,Tyco Australia Pty Limited TAX INVOICE NUMBER: 611656,1535,0,False,62.0,37,7,2017,800,611656,135
8,7.0,, swiss, comic sans ms,12.5, bold,68,0,618,875,Locked Bag 3010 INVOICE DATE : 28-Nov-16,1593,0,False,0.0,44,0,618,888,Locked,163
9,7.0,, swiss, comic sans ms,12.5, bold,68,0,618,875,Locked Bag 3010 INVOICE DATE : 28-Nov-16,1593,0,False,19.0,55,1,800,888,Bag,85
10,7.0,, swiss, comic sans ms,12.5, bold,68,0,618,875,Locked Bag 3010 INVOICE DATE : 28-Nov-16,1593,0,False,16.0,44,2,901,888,3010,104
11,7.0, 5f5f5f, swiss, comic sans ms,9.5, bold,68,0,618,875,Locked Bag 3010 INVOICE DATE : 28-Nov-16,1593,0,True,527.0,34,3,1532,878,INVOICE,151
12,7.0, 5f5f5f, swiss, comic sans ms,9.5, bold,68,0,618,875,Locked Bag 3010 INVOICE DATE : 28-Nov-16,1593,0,False,14.0,34,4,1697,878,DATE,99
13,7.0, 5f5f5f, swiss, comic sans ms,9.5, bold,68,0,618,875,Locked Bag 3010 INVOICE DATE : 28-Nov-16,1593,0,False,16.0,25,5,1812,887,:,5
14,7.0,, swiss, comic sans ms,11.5, bold,68,0,618,875,Locked Bag 3010 INVOICE DATE : 28-Nov-16,1593,0,False,200.0,37,6,2017,875,28-Nov-16,194
15,8.0,, swiss, comic sans ms,12.5, bold,82,0,616,950,West Footscray 3012 VIC DUE DATE : 28-Dec-16,1592,0,False,0.0,43,0,616,977,West,114
16,8.0,, swiss, comic sans ms,12.5, bold,82,0,616,950,West Footscray 3012 VIC DUE DATE : 28-Dec-16,1592,0,False,17.0,55,1,747,977,Footscray,224
17,8.0,, swiss, comic sans ms,12.5, bold,82,0,616,950,West Footscray 3012 VIC DUE DATE : 28-Dec-16,1592,0,False,15.0,43,2,986,977,3012,104
